Question_id,Question,Answer,score
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟","في القرآن الكريم، توجد علامات السجود في عدة مواضع تبلغ 15 موضعًا مختلفًا.",1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",هناك 15 موضعا في القرآن الكريم حيث وردت علامة السجدة.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟","القرآن الكريم يحتوي على علامات السجدة في عدة مواضع، وعددها هو 15 موضعاً مختلفاً.",1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",عدد المواضع هو 15,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",يحتوي على 15 سجدة,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",15 سجدة,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",عدد علامات السجود في القرآن الكريم هو 15 موضعًا.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",يوجد 15 موضعًا في القرآن الكريم حيث يُطلب السجود.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",هناك 15 علامة سجود موزعة في القرآن.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",15 هو العدد الكامل لعلامات السجود في القرآن.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",تم رصد 15 موضعًا تستلزم فيها السجود أثناء قراءة القرآن الكريم.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",القرآن الكريم يحتوي على 15 علامة تشير إلى السجود.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",هناك 15 تنبيهًا في القرآن لأداء السجود أثناء القراءة.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",عدد علامات السجود الموجودة في القرآن الكريم هو 15 علامة.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",القرآن الكريم يحتوي على 15 موضعًا مختلفًا حيث يوجد علامات السجود.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",علامات السجود موجودة في القرآن الكريم في 15 مكانًا محددًا.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",القرآن يحتوي على 15 موضعا تُسجد فيها خلال التلاوة.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",هناك 15 نقطة في القرآن الكريم تدل على السجود.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",القرآن الكريم يحتوي على 15 موضعًا يُشير فيها إلى سجدة القراءة.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",علامات السجدة في القرآن الكريم تظهر في 15 موضعًا مختلفًا.,1
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",لا يمكن العثور على أي علامة سجود في النص القرآني.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟","في كل صفحة من القرآن، يوجد موضع واحد لعلامة السجود.",0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",هناك 30 موضعًا تتطلب السجود أثناء قراءة القرآن الكريم.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",يتجاوز عدد علامات السجود في القرآن الكريم الـ 50 موضعًا.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",القرآن الكريم يحتوي على 20 سجدة في مواضع مختلفة.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",علامات السجدة في القرآن الكريم تبلغ 10 علامات.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",هناك 25 سجدة موجودة في القرآن الكريم في مواضع مختلفة.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",هناك 17 علامة سجود في القرآن الكريم.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",30 موضعًا هو العدد الصحيح لعلامات السجود في القرآن.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",علامات السجود موجودة في 5 مواضع فقط.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",هناك 12 موضعًا يتعين فيها السجود أثناء قراءة القرآن.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",عدد علامات السجود هو 18 موضعًا مختلفًا.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",القرآن يحتوي على 8 تنبيهات للسجود.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",لا يوجد أي علامات سجود في القرآن الكريم.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",هناك 10 مواضع فقط في القرآن حيث يطلب السجود.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",عدد علامات السجود في القرآن 7 مواضع.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",القرآن الكريم يحتوي على 25 علامة سجود.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",ليس هناك أي علامات سجود معينة في القرآن.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",السجود في القرآن موجود في 5 مواضع فقط.,0
1,"يحتوي القرآن الكريم على (علامة السجدة) في عدة مواضع، فما هو عددها؟",عدد علامات السجود في القرآن الكريم 12 موضعًا.,0
2,هل يجوز للمسلم أن يفطر في نهار الصيام بغير عذر؟,لا يجوز للمسلم أن يفطر في نهار رمضان إلا في حالات الضرورة الشديدة مثل المرض الحاد.,1
2,هل يجوز للمسلم أن يفطر في نهار الصيام بغير عذر؟,لا يجوز للمسلم أن يفطر في نهار رمضان إلا بعذر مثل إذا كان مريضًا معرضًا للضرر الصحي بالصيام.,1
